Order_ID,Order_Date,Ship_Date,Ship_Mode,Country_Region,City,State_Province,Postal_Code,Customer_Name,Product_Name,Quantity,Discount
127971,2022-01-12,8,First Class,United States,Cincinnati,Ohio,45249,Luke Weiss,Desktop,68,0.37
840317,2022-08-05,2,Expedited,Canada,Havre-Saint-Pierre,Québec,H4R,Kimberly Carter,Brother DCP1000 Digital 3 in 1 Multifunction Machine,50,0.39
423473,2022-07-31,12,Standard Class,United States,Inglewood,California,90398,Mary Zewe,Wilson Jones 1 Hanging DublLock Ring Binders,88,0.69
191474,2022-09-08,7,Expedited,United States,Waterbury,Connecticut,06705,Kelly Andreada,GBC Standard Recycled Report Covers,49,0.63
433995,2022-04-04,14,Expedited,Canada,Oshawa,Ontario,L1K,Jack Garza,1,3,0.5
844018,2022-10-22,29,First Class,Mexico,Benito Juarez,Morelos,62214,Patrick Ryan,Corner Table,25,0.11
167567,2022-01-11,27,First Class,Canada,Plessisville,Québec,G6L,Allen Goldenen,Boston KS Multi-Size Manual Pencil Sharpener,4,0.28
412641,2022-04-09,26,Expedited,United States,Carson City,Nevada,89706,Alan Barnes,10-Color Set with Brush,70,0.54
409551,2022-12-28,18,Second Class,United States,Reston,Virginia,20195,Bryan Davis,Akro-Mils 12-Gallon Tote,61,0.72
364675,2022-01-01,22,Second Class,Canada,Vanderhoof,British Columbia,G9A,Anna Gayman,Xerox 1988,67,0.41
451745,2022-02-26,3,Standard Class,United States,Las Vegas,Nevada,89105,Philip Fox,Acco Pressboard Covers with Storage Hooks,64,0.48
448278,2022-07-16,29,Standard Class,Canada,Devon,Alberta,T9G,Becky Martin,GE 30522EE2,44,0.17
695737,2022-04-17,13,First Class,United States,Petaluma,California,94975,Anne McFarland,Wilson Jones Ledger-Size,74,0.64
1899,2022-02-16,18,Standard Class,United States,Oklahoma City,Oklahoma,73129,Michael Kennedy,Jawbone JAMBOX Wireless Bluetooth Speaker,69,0.26
597806,2022-01-28,9,Standard Class,United States,Fort Lauderdale,Florida,33355,Ben Wallace,Master Caster Door Stop,19,0.38
997295,2022-03-18,10,Expedited,Mexico,Los Fresnos,Tamaulipas,88290,Jim Radford,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,46,0.38
548663,2022-04-10,14,Standard Class,Mexico,Hidalgo,Mexico,53580,Maureen Gnade,GBC Standard Therm-A-Bind Covers,18,0.39
24831,2022-01-27,20,Second Class,Canada,Carleton Place,Ontario,K7C,Eugene Barchas,Professional,52,0.02
820667,2022-05-22,26,First Class,United States,Trenton,New Jersey,08695,Ross Baird,Chisel Tip,30,0.65
166754,2022-10-04,17,First Class,Mexico,Hidalgo,Chihuahua,31803,Art Foster,4/Carton,85,0.75
102186,2022-11-05,18,Standard Class,United States,San Antonio,Texas,78225,Brosina Hoffman,netTALK DUO VoIP Telephone Service,38,0.29
258170,2022-12-23,30,Expedited,Mexico,Tierra y Libertad,Coahuila De Zaragoza,27040,Sharelle Roach,Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day,89,0.47
