Order_ID,Order_Date,Ship_Date,Ship_Mode,Country_Region,City,State_Province,Postal_Code,Customer_Name,Product_Name,Quantity,Discount
160069,2021-01-21,5,Expedited,United States,Denver,Colorado,80217,Larry Tron,Jawbone JAMBOX Wireless Bluetooth Speaker,76,0.6
263468,2021-01-26,30,Second Class,United States,El Paso,Texas,79940,Scot Coram,Fellowes Advanced Computer Series Surge Protectors,28,0.43
939845,2021-03-14,25,Expedited,Mexico,Lazaro Cardenas,Guerrero,40977,Seth Vernon,5 3/8â€ x 11â€,90,0.17
96385,2021-05-29,30,Second Class,Mexico,Santa Anita,Guanajuato,38900,Brian Derr,Ativa V4110MDD Micro-Cut Shredder,91,0.54
781674,2021-11-08,9,First Class,Canada,Cookshire-Eaton,Québec,M4C,Pete Armstrong,Wilson Jones Impact Binders,94,0.11
973225,2021-10-04,10,Expedited,United States,Nashville,Tennessee,37220,Thomas Brumley,Southworth 25% Cotton Granite Paper & Envelopes,88,0.4
601517,2021-04-07,1,Expedited,Canada,Gibbons,Alberta,M1E,Anthony Witt,White,83,0.45
86834,2021-07-26,28,First Class,Mexico,Guadalupe,Campeche,24400,Lindsay Castell,DXL Angle-View Binders with Locking Rings by Samsill,43,0.64
367099,2021-01-17,5,Standard Class,Mexico,Francisco I Madero,Coahuila De Zaragoza,26010,Paul MacIntyre,3/pkg,51,0.39
76894,2021-08-03,13,Expedited,United States,Philadelphia,Pennsylvania,19120,Jill Stevenson,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,13,0.11
755871,2021-06-12,10,First Class,Mexico,San Francisco,Guanajuato,36441,Alejandro Savely,40 Watt,95,0.68
736838,2021-04-24,9,Second Class,United States,Gary,Indiana,46406,Christine Sundaresam,Master Caster Door Stop,84,0.22
700629,2021-10-01,27,Expedited,Canada,Bancroft,Ontario,S4X,Tracy Blumstein,Medium Soft,22,0.01
954612,2021-05-24,10,Second Class,Canada,Raymond,Alberta,G6K,Rick Reed,Memorex Froggy Flash Drive 4 GB,90,0.13
633683,2021-06-10,6,Expedited,Canada,Prince Rupert,British Columbia,V8J,Rick Huthwaite,Eureka Recycled Copy Paper 8 1/2 x 11,64,0.59
337882,2021-11-14,22,First Class,United States,Staten Island,New York,10305,Nat Gilpin,Cisco 8x8 Inc. 6753i IP Business Phone System,31,0.37
692252,2021-09-29,22,Expedited,Mexico,San Marcos,Guanajuato,36951,Arthur Gainer,LF Elite 3D Dazzle Designer Hard Case Cover,46,0.08
845028,2021-07-21,6,First Class,United States,Minneapolis,Minnesota,55441,Carol Adams,3-1/8 Cut,27,0.02
166406,2021-03-27,24,Standard Class,Mexico,La Laguna,Mexico,51247,Brian Thompson,Wood Photo Frame,33,0.61
93894,2021-06-18,15,Expedited,United States,Springfield,Missouri,65898,Alan Shonely,Acme Value Line Scissors,98,0.0
427996,2021-06-14,5,Standard Class,United States,Norfolk,Virginia,23509,Berenike Kampe,Plantronics Single Ear Headset,32,0.73
117963,2021-01-25,4,First Class,United States,Las Vegas,Nevada,89193,Barry FranzÃ¶sisch,Polycom VoiceStation 500 ConferenceÂ phone,22,0.45
486100,2021-09-11,27,Standard Class,Mexico,Petrolera,Veracruz Llave,94723,Jennifer Jackson,Copier Scanner,62,0.51
993407,2021-02-21,11,Standard Class,United States,Houston,Texas,77299,Janet Martin,Wilson Electronics DB Pro Signal Booster,54,0.59
871616,2021-11-01,22,First Class,United States,Orlando,Florida,32830,Cyra Reiten,VTech DS6151,88,0.5
270389,2021-10-11,16,Second Class,United States,Decatur,Georgia,30033,Maribeth Dona,Green Canvas Binder for 8-1/2 x 14 Sheets,1,0.68
